state_code,state_name,status_code,status_display,duration_days,cost_avg,notes
WV,West Virginia,sale_completed,Sale Completed,30,,
WV,West Virginia,post_sale_redemption,Post-Sale Redemption,0,,
WY,Wyoming,pre_fc,Pre-Foreclosure,90,,
WY,Wyoming,first_legal_filed,First Legal Filed (NOD/Complaint),15,,
WY,Wyoming,mediation,Mediation,0,,
WY,Wyoming,order_of_reference,Order of Reference (Judicial Only),0,,
WY,Wyoming,judgement,Judgment (Judicial Only),0,,
WY,Wyoming,pre_sale_redemption,Pre-Sale Redemption,0,,
WY,Wyoming,sale_scheduled,Sale Scheduled,10,,
WY,Wyoming,sale_completed,Sale Completed,30,,
WY,Wyoming,post_sale_redemption,Post-Sale Redemption,90,,
