assetidhub,servicing_transfer_duration,pre_fc_duration,fc_duration_state_avg,renovation_duration,reo_marketing_duration,dil_duration,reconciled_rehab_cost,total_property_tax,total_insurance,total_hoa,total_utility,broker_fees,am_liq_fees,trashout_cost,fc_expenses,dil_fees,acq_costs,servicing_fc,servicing_liq_fee,expected_gross_proceeds,purchase_price,bid_pct_upb,bid_pct_td,bid_pct_sellerasis,expected_exit_date,expected_net_proceeds,expected_pl,expected_moic,expected_irr,outcome_dil_asis,outcome_dil_arv,outcome_reo_arv,outcome_reo_asis,purchase_date,expected_pv
6200,1,2,4,4,4,3,110000,398.165625,6075,0,1600,70240," 13,170 ",,1687.5,3750,400,1079.5,," 878,000 ",473060.4,1.189746118,0.456800733,0.727785272,02/2027," 661,179.45 ",188119.0277,1.31x,0.237781221,0,0.5,0.5,0,10/9/2025,532000.5419
6201,1,2,4,,4,3,,126.1677083,1925,0,800,22000," 4,125 ",2062.5,1687.5,3750,400,863.5,," 275,000 ",199199.6,1.276037354,0.440720824,0.711426964,10/2026," 234,656.84 ",35457.29427,1.28x,0.145963401,0.5,0,0,0.5,10/9/2025,198731.3642
6202,1,2,4,,4,3,,114.6979167,1750,0,800,18956," 3,554 ",1875,1687.5,3750,400,865.975,," 236,950 ",127002.5,1.813262855,0.89595,0.434593128,10/2026," 203,666.85 ",76664.39907,1.28x,0.477249449,0.5,0,0,0.5,10/9/2025,172419.7529
6203,1,2,5,4,4,3,100000,4067.029167,1947.5,0,1760,30880," 5,790 ",,2250,3750,400,1169.5,," 386,000 ",157857.1,1.823923563,0.812906848,0.928571395,03/2027," 230,442.53 ",72585.38785,1.23x,0.235332233,0,0.5,0.5,0,10/9/2025,180010.3059
6204,1,2,5,,4,3,,3837.3125,1837.5,0,880,20040," 3,758 ",1890,2250,3750,400,953.5,," 250,500 ",165417.3,1.942839241,0.81384655,0.709945311,11/2026," 208,788.76 ",43371.50083,1.28x,0.195027333,0.5,0,0,0.5,10/9/2025,174287.0913
6205,1,2,5,,4,3,,4620.4375,2212.5,0,880,24120," 4,523 ",2272.5,2250,3750,400,953.5,," 301,500 ",201178.6,1.080973842,0.533517715,0.773763862,11/2026," 252,970.34 ",51791.73767,1.31x,0.192748696,0.5,0,0,0.5,10/9/2025,211373.2328
6206,1,2,5,4,4,3,125000,10117.975,4845,0,1760,63920," 11,985 ",,2250,3750,400,1169.5,," 799,000 ",388362.5,1.643606213,0.886811865,0.983196124,03/2027," 566,600.05 ",178237.581,1.30x,0.250148112,0,0.5,0.5,0,10/9/2025,448484.6013
6207,1,2,5,,4,3,,4620.4375,2212.5,0,880,24120," 4,523 ",2272.5,2250,3750,400,953.5,," 301,500 ",201178.6,0.949782528,0.357529031,0.788935702,11/2026," 252,970.34 ",51791.73767,1.31x,0.192748696,0.5,0,0,0.5,10/9/2025,211373.2328
6208,1,2,5,,4,3,,3524.0625,1687.5,0,880,18400," 3,450 ",1732.5,2250,3750,400,953.5,," 230,000 ",144488.2,1.440911128,0.612459535,0.733442708,11/2026," 191,027.38 ",46539.16151,1.28x,0.237176162,0.5,0,0,0.5,10/9/2025,159377.9816
6209,1,2,5,4,4,3,90000,5852.554167,2802.5,0,1760,37080," 6,953 ",,2250,3750,400,1169.5,," 463,500 ",212583.4,1.115066979,0.512664456,0.787346027,03/2027," 307,303.48 ",94720.04767,1.27x,0.236815959,0,0.5,0.5,0,10/9/2025,241869.4873
6210,1,2,5,,4,3,,5873.4375,2812.5,0,880,30720," 5,760 ",2895,2250,3750,400,953.5,," 384,000 ",246366.9,1.632781715,0.847187419,0.656978504,11/2026," 324,459.63 ",78092.68613,1.41x,0.237326282,0.5,0,0,0.5,10/9/2025,271382.9374
6211,1,2,6,4,4,3,35000,3812.5,2500,0,1600,36320," 6,810 ",,1545,3750,400,1259.5,," 454,000 ",286811.5,1.643713187,0.797511336,0.735414138,11/2026," 356,778.63 ",69967.111,1.27x,0.181641406,0,0.5,0.5,0,10/9/2025,297761.9188
6212,1,2,6,,4,3,,1789.333333,1173.333333,880,800,17840," 3,345 ",1680,1545,3750,400,1043.5,," 223,000 ",159459.2,0.918432197,0.358796445,0.664413292,04/2026," 186,771.50 ",27312.31,1.20x,0.258573836,0.5,0,0,0.5,10/9/2025,169760.4929
6213,1,2,6,4,4,3,250000,9300,1500,0,800,105680," 19,815 ",,2025,3750,400,1304.5,," 1,321,000 ",687014.5,1.413675273,0.857597604,0.558548341,01/2027," 913,485.50 ",226471.04,1.26x,0.207537669,0,0.5,0.5,0,10/9/2025,741770.0453
